GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06037311300,3963.0,40.6,29.2,54.5,3.2,433.0,46.6,81.1,632300.0,5.1,20.7,32.3,0.0,2.37,1699 (USD),$87286,26.8,76.5,16.3,26.3,94.1,39.2,60.0,23.3
06037320000,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
06037400604,3211.0,34.3,49.9,29.5,2.9,523.0,47.6,42.3,458300.0,5.1,0.0,34.0,0.0,3.63,1228 (USD),$77821,30.5,72.5,23.4,36.1,96.0,33.1,53.7,25.4
06037401203,5316.0,41.9,36.4,43.1,4.9,629.0,47.3,69.0,484400.0,5.7,0.0,24.3,0.0,3.96,1502 (USD),$76029,34.3,82.3,12.5,36.6,87.5,33.5,60.7,22.7
06037401500,6229.0,33.3,44.5,39.4,7.0,413.0,46.8,66.5,424800.0,5.1,21.6,31.9,0.0,2.86,1199 (USD),$73919,29.6,67.2,9.5,49.6,83.8,34.2,72.6,14.3
06037401602,6264.0,33.4,48.8,40.3,4.0,106.0,48.3,57.7,454500.0,5.1,12.2,45.7,1.7,3.08,1447 (USD),$68662,31.4,74.2,11.8,29.5,81.9,28.1,73.0,11.4
06037553901,6730.0,30.4,83.0,6.3,3.7,362.0,49.0,75.6,397300.0,4.8,3.0,45.4,10.3,3.73,1301 (USD),$66083,30.9,81.2,12.0,37.1,92.4,15.2,21.0,34.1
06037554516,3850.0,47.4,14.1,12.0,14.8,2278.0,49.6,98.3,678600.0,6.4,0.8,12.9,3.8,3.75,2962 (USD),$103681,33.8,82.1,0.8,46.6,94.3,48.2,40.4,45.4
06037555104,4117.0,36.3,46.7,16.5,10.0,993.0,42.4,42.4,359100.0,4.6,1.5,48.1,10.0,3.33,1328 (USD),$67313,27.6,77.3,8.9,28.6,91.8,26.5,42.5,35.2
06037570002,3110.0,38.1,37.6,40.7,6.2,316.0,49.2,95.2,451800.0,5.6,3.2,22.7,3.7,2.58,1563 (USD),$88359,26.6,85.8,7.5,24.1,93.0,23.7,63.9,14.1
06037570204,4214.0,32.6,58.8,10.7,18.8,419.0,49.5,58.8,377700.0,4.6,6.2,60.1,2.6,3.27,1209 (USD),$59872,31.1,83.1,19.6,25.8,90.7,14.8,41.1,23.8
06037572002,5304.0,41.0,19.8,34.5,26.5,826.0,47.5,15.3,362500.0,3.9,6.9,68.1,3.6,2.44,1476 (USD),$66709,29.1,81.6,11.2,43.1,87.2,28.9,72.6,20.7
06037572201,6417.0,41.0,30.8,18.4,16.1,2129.0,44.8,52.2,410900.0,4.9,8.4,47.0,0.0,2.96,1169 (USD),$78506,22.8,74.8,13.6,27.9,93.0,34.1,48.3,36.4
06037573402,6765.0,32.4,31.5,28.5,12.1,1765.0,48.7,28.0,328600.0,4.1,10.0,68.8,0.0,2.82,1312 (USD),$60421,28.3,81.1,12.7,40.6,91.5,31.3,55.1,27.5
06037574100,5135.0,42.9,21.0,65.7,1.9,396.0,46.5,99.6,585800.0,5.6,0.4,21.6,0.0,2.69,2090 (USD),$101436,28.6,81.8,3.9,29.0,92.4,41.4,82.8,11.8
06037574400,5088.0,41.9,17.1,63.5,7.3,401.0,47.3,99.7,603400.0,6.0,0.9,15.5,7.0,2.98,2494 (USD),$102132,30.1,80.4,4.1,28.5,94.5,49.0,87.2,9.4
06037540000,7184.0,30.4,93.7,1.4,3.1,119.0,52.5,63.6,351000.0,4.7,10.8,56.8,0.0,4.43,1195 (USD),$51047,32.1,79.0,21.5,20.0,93.9,4.7,10.3,41.3
06037540902,4943.0,35.9,44.5,0.4,53.6,0.0,47.4,79.3,303100.0,5.2,1.1,42.7,0.0,3.06,1165 (USD),$55911,29.3,75.8,19.9,28.5,86.2,10.0,56.1,19.7
06037541500,6406.0,26.7,83.7,0.5,12.7,0.0,46.5,64.8,277900.0,4.9,8.9,61.4,4.1,4.62,1078 (USD),$50433,28.0,72.2,23.1,17.0,95.0,3.4,24.8,31.7
06037542401,5232.0,30.2,65.5,0.0,31.7,54.0,47.7,78.8,283700.0,5.0,28.1,37.6,3.4,4.8,1170 (USD),$46472,28.0,73.3,24.2,21.0,93.9,5.5,38.1,27.0
06037543201,3871.0,29.8,59.7,2.4,36.4,0.0,47.8,79.7,326400.0,5.2,11.3,37.4,0.0,4.59,1456 (USD),$50000,26.6,73.9,19.0,31.0,85.3,10.3,47.2,23.1
06037543602,8158.0,41.4,39.3,14.0,7.0,2955.0,53.1,47.4,405700.0,5.0,1.4,23.0,5.3,3.22,1483 (USD),$71458,27.6,72.2,6.9,39.4,87.4,34.7,41.0,41.5
06037551202,7678.0,33.6,76.9,12.2,5.4,384.0,49.1,64.0,457500.0,4.8,8.8,53.6,0.0,3.51,1432 (USD),$72434,28.7,81.1,13.2,31.1,89.2,21.3,31.0,29.6
06037553602,5076.0,29.2,71.9,5.3,18.6,53.0,43.8,37.7,328400.0,4.7,5.3,64.3,2.5,3.48,1485 (USD),$64329,33.1,73.4,12.4,32.2,86.2,12.3,33.6,27.1
06037553702,4769.0,28.3,92.3,0.0,4.9,104.0,46.0,59.9,256300.0,4.5,7.8,56.6,0.0,4.52,1267 (USD),$50185,25.2,78.6,23.7,25.9,93.7,6.7,11.5,39.8
06037531502,3403.0,29.3,97.8,0.4,0.0,62.0,50.2,63.3,332000.0,4.5,23.4,79.4,2.9,4.45,1046 (USD),$41474,30.4,69.9,17.0,24.9,92.8,1.1,5.4,44.6
06037531901,6394.0,32.2,97.9,0.4,0.7,71.0,47.0,54.2,319300.0,4.0,30.9,66.8,2.5,3.5,1042 (USD),$39119,34.7,70.3,27.0,19.5,96.7,4.9,8.8,42.0
