GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06059021826,2870.0,33.0,19.8,58.7,5.6,325.0,45.9,33.5,534900.0,4.8,1.6,47.8,14.7,2.8,1949.0,73911.0,33.1,88.5,2.4,27.0,81.6,39.8,85.6,11.8
06059021829,5218.0,48.8,9.5,61.4,0.8,1406.0,51.5,91.5,920400.0,7.6,0.6,4.4,0.0,3.67,3347.0,175375.0,36.0,81.5,1.8,33.3,90.2,65.2,70.8,26.1
06059021917,3152.0,48.5,12.3,76.1,0.1,187.0,45.7,85.3,892700.0,7.7,0.7,8.2,0.0,4.31,2750.0,147386.0,27.7,81.2,4.2,30.6,89.8,52.4,76.7,14.2
06059021924,4302.0,38.2,22.4,45.2,4.3,992.0,46.9,78.1,716200.0,6.4,0.7,28.8,0.0,2.47,2206.0,120341.0,31.2,86.4,5.8,31.9,86.2,60.1,60.3,24.8
06059032011,1601.0,50.9,16.2,81.6,0.3,18.0,53.6,95.6,492300.0,5.4,40.6,17.1,10.7,2.05,1745.0,100282.0,32.9,83.0,2.9,29.5,92.2,40.2,84.5,11.6
06059032013,5480.0,44.1,10.0,74.5,4.3,179.0,42.4,42.7,680300.0,5.3,0.0,49.3,4.6,1.94,2035.0,101250.0,24.7,84.2,4.8,35.0,68.0,48.5,76.3,18.1
06059032015,6758.0,46.5,16.8,62.9,0.6,1069.0,50.8,82.9,650000.0,6.9,0.0,19.1,6.1,2.82,2156.0,112569.0,27.9,78.1,9.6,28.7,93.9,40.7,74.2,21.4
06059032042,5728.0,41.1,13.8,76.3,1.2,270.0,48.3,88.6,774700.0,7.3,0.5,14.2,0.0,2.63,2032.0,141146.0,28.6,84.6,1.4,29.0,87.8,52.5,86.7,10.8
06059032047,4365.0,35.9,20.2,64.7,1.5,353.0,48.8,17.3,388100.0,4.0,0.9,49.8,0.0,2.13,1845.0,81094.0,28.8,93.4,6.4,44.6,75.6,35.5,76.8,19.0
06059042201,5000.0,53.7,19.2,75.1,2.9,77.0,47.4,51.0,711700.0,5.4,1.1,33.1,6.1,2.18,1721.0,72311.0,23.0,72.2,10.2,41.5,92.9,37.0,82.0,11.3
