GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born,state,county,county_name
06037203200,5008.0,31.8,96.1,1.5,1.2,18.0,46.2,49.5,338100.0,4.4,45.6,64.4,1.0,3.72,1078.0,45785.0,30.7,59.4,30.7,25.8,90.6,9.7,12.3,42.7,06,037,Los Angeles
06037203800,4688.0,31.4,95.2,1.9,0.2,86.0,48.9,62.4,346700.0,4.7,38.1,55.8,2.6,4.4,1129.0,38955.0,31.1,64.5,31.1,22.5,92.5,10.1,15.0,39.1,06,037,Los Angeles
06037204700,5271.0,31.4,94.8,3.8,0.0,77.0,53.4,68.1,346500.0,4.5,50.6,54.8,0.0,4.14,1047.0,50458.0,27.5,73.6,23.6,31.6,94.9,5.6,6.6,46.0,06,037,Los Angeles
06037204810,5112.0,33.2,98.0,0.2,1.1,30.0,50.7,57.0,412100.0,4.2,41.5,61.9,2.5,4.12,1004.0,41037.0,26.6,74.3,23.3,27.2,91.4,6.3,10.5,43.2,06,037,Los Angeles
06037216100,2428.0,44.1,8.4,54.0,17.3,418.0,52.3,50.9,950700.0,6.2,76.9,41.6,0.0,2.2,1768.0,98102.0,25.4,71.1,8.4,35.2,85.1,69.3,77.3,16.8,06,037,Los Angeles
06037206031,3589.0,34.3,8.9,42.4,4.3,1350.0,59.3,1.3,628200.0,1.4,35.3,70.7,9.3,1.69,2332.0,87500.0,28.1,54.6,13.0,83.0,75.6,70.7,60.1,24.4,06,037,Los Angeles
06037186301,3119.0,31.2,67.9,15.5,3.2,363.0,51.2,37.1,484800.0,4.1,18.5,69.6,0.0,3.46,1165.0,38672.0,32.0,60.5,33.1,27.5,83.2,27.5,31.7,38.6,06,037,Los Angeles
06037183104,2248.0,38.4,54.2,26.2,0.7,363.0,49.9,66.4,624600.0,5.3,26.7,37.7,0.0,2.95,1256.0,69250.0,37.5,74.3,8.1,40.0,96.7,33.8,43.5,29.9,06,037,Los Angeles
06037241002,3956.0,26.1,59.4,0.5,38.6,0.0,45.2,58.6,320700.0,4.9,19.9,54.1,0.0,3.67,1132.0,39837.0,31.5,82.9,22.3,16.5,94.9,5.1,45.0,20.9,06,037,Los Angeles
06037241001,4460.0,29.2,72.6,0.4,25.4,6.0,43.3,56.4,283900.0,4.9,32.1,53.8,5.3,4.16,1122.0,37917.0,25.4,71.8,30.5,20.8,92.1,9.2,29.2,37.0,06,037,Los Angeles
06037240402,3756.0,29.6,64.2,0.1,34.0,1.0,44.6,60.2,280100.0,4.4,47.7,49.7,3.1,3.35,1045.0,33705.0,36.0,78.6,36.3,18.8,91.8,5.8,43.0,29.2,06,037,Los Angeles
06037239202,5589.0,25.8,80.3,0.3,18.7,0.0,51.5,59.0,423300.0,4.3,31.9,71.5,2.3,4.8,1132.0,31716.0,39.7,58.5,30.5,20.8,87.6,6.3,22.7,33.3,06,037,Los Angeles
06037239201,3842.0,28.6,79.0,0.7,19.8,1.0,50.8,48.5,321300.0,4.4,50.9,81.4,3.1,4.14,1071.0,34418.0,32.5,54.0,33.8,11.2,87.0,5.8,22.3,42.3,06,037,Los Angeles
06037237402,3011.0,37.5,58.2,1.3,40.1,0.0,49.8,74.3,277200.0,4.3,62.8,38.2,0.0,2.65,1096.0,34719.0,30.5,76.9,22.2,33.8,93.1,10.4,42.8,32.5,06,037,Los Angeles
06037237401,3967.0,32.8,73.8,1.1,24.6,0.0,47.4,69.8,276100.0,4.8,60.9,50.7,3.7,3.0,1064.0,33661.0,35.4,77.2,36.6,27.5,92.9,8.3,27.7,36.5,06,037,Los Angeles
06037237202,4708.0,32.3,65.5,2.3,31.2,32.0,50.8,57.4,321800.0,4.5,34.3,55.6,1.1,3.29,1303.0,40511.0,37.9,74.5,17.5,26.3,95.6,8.8,33.6,36.4,06,037,Los Angeles
06037237201,3581.0,32.0,70.9,0.2,25.9,49.0,48.1,70.6,289600.0,4.5,50.8,51.4,2.8,3.18,1071.0,41858.0,36.0,79.0,21.5,34.1,92.8,5.3,30.4,36.7,06,037,Los Angeles
06037237101,3926.0,29.5,76.1,0.6,22.8,16.0,45.2,46.1,369300.0,4.3,37.6,69.2,3.8,3.32,1004.0,30530.0,34.4,59.7,37.5,15.4,94.1,4.0,27.5,38.0,06,037,Los Angeles
06037236204,2944.0,33.3,37.9,3.9,55.5,38.0,45.2,1.2,,3.5,12.4,100.0,7.3,2.3,1059.0,23491.0,31.1,57.6,44.1,37.4,81.6,8.9,62.1,23.5,06,037,Los Angeles
06037236203,3269.0,37.7,27.2,2.3,58.9,164.0,45.1,1.5,310500.0,3.5,23.8,97.7,4.9,2.24,1062.0,27092.0,34.3,63.6,29.3,26.5,89.8,11.1,58.9,32.6,06,037,Los Angeles
06037234902,3908.0,33.4,53.0,1.5,39.8,48.0,46.5,25.0,425600.0,3.8,22.1,78.6,11.3,2.58,1088.0,25893.0,38.8,67.4,27.2,33.1,88.5,5.7,45.0,32.9,06,037,Los Angeles
06037222001,3022.0,35.1,60.6,8.1,28.4,28.0,49.1,62.5,462400.0,5.1,77.0,48.8,3.7,3.15,1236.0,51838.0,31.7,77.0,13.5,29.3,95.7,22.8,44.3,33.1,06,037,Los Angeles
06037221602,2939.0,31.4,88.9,2.2,2.5,175.0,49.1,18.6,434200.0,3.3,20.3,90.6,0.0,3.02,1031.0,24063.0,34.5,57.8,38.0,16.9,90.0,12.3,9.8,55.1,06,037,Los Angeles
06037221601,3159.0,35.2,74.6,6.6,13.9,127.0,49.7,21.7,559600.0,3.9,45.1,81.1,0.0,3.23,946.0,32974.0,34.6,62.5,30.5,20.5,89.0,14.9,27.5,45.4,06,037,Los Angeles
06037221402,2857.0,34.0,55.2,7.3,20.1,431.0,52.4,24.3,645000.0,3.8,44.3,77.5,2.8,2.55,1049.0,34250.0,33.4,68.4,24.7,34.7,88.5,20.1,34.9,39.8,06,037,Los Angeles
06037294301,2639.0,36.8,82.3,8.0,1.0,209.0,50.9,83.5,380300.0,5.2,19.0,22.0,0.0,3.5,1138.0,66510.0,23.2,81.5,6.8,20.9,97.4,14.8,36.2,34.1,06,037,Los Angeles
06037293307,2601.0,33.6,63.4,10.1,8.2,391.0,50.1,12.9,298100.0,3.4,0.0,78.1,0.0,2.9,1107.0,47337.0,29.8,72.3,26.5,32.7,91.7,20.0,29.1,43.0,06,037,Los Angeles
06037278102,3118.0,44.4,8.6,79.9,1.7,153.0,51.8,34.3,1179200.0,4.7,3.8,48.5,3.3,1.92,2168.0,155694.0,30.5,85.7,3.1,54.5,83.9,71.3,86.9,12.1,06,037,Los Angeles
06037194402,3776.0,36.1,5.7,77.6,0.8,482.0,55.7,14.1,872200.0,4.2,24.5,71.9,0.0,1.73,2436.0,96552.0,25.3,74.5,11.0,41.5,77.0,72.7,74.1,20.5,06,037,Los Angeles
06037221401,3523.0,35.0,36.1,7.4,46.8,248.0,40.8,16.1,710900.0,3.1,27.8,88.1,3.9,2.34,821.0,21545.0,33.3,58.7,42.6,32.7,88.9,22.6,53.2,31.6,06,037,Los Angeles
06037221304,3894.0,34.6,67.8,2.2,9.7,779.0,42.9,3.6,468200.0,3.5,20.0,97.3,1.2,3.45,1114.0,34375.0,35.3,62.6,28.6,20.5,95.7,16.5,9.9,54.5,06,037,Los Angeles
06037221303,2838.0,34.8,75.3,5.8,5.2,363.0,57.0,11.3,538500.0,3.2,45.4,87.4,0.0,3.49,1038.0,31349.0,33.6,48.0,42.8,29.2,84.9,17.2,11.8,55.7,06,037,Los Angeles
06037219902,3682.0,33.5,66.0,7.7,19.8,91.0,52.1,46.7,424200.0,4.1,23.7,49.9,3.6,2.89,1329.0,44766.0,28.3,64.7,22.1,23.9,94.7,17.5,29.0,39.5,06,037,Los Angeles
06037218702,2218.0,36.8,58.0,4.3,30.9,68.0,50.2,27.8,468100.0,3.5,52.7,74.0,0.0,2.57,953.0,32218.0,36.5,75.6,28.0,25.0,92.7,19.8,42.1,38.7,06,037,Los Angeles
06037218701,2239.0,41.6,29.6,9.2,39.7,444.0,49.0,33.3,737200.0,4.5,59.9,60.9,10.1,2.61,1113.0,55154.0,31.6,82.5,17.8,24.1,89.2,32.8,57.0,29.1,06,037,Los Angeles
06037217002,5058.0,35.9,14.4,63.8,8.7,500.0,43.8,18.3,943100.0,4.3,32.3,75.2,1.3,2.03,1628.0,74215.0,27.5,80.5,12.5,29.1,88.6,55.1,60.6,28.0,06,037,Los Angeles
06037217001,3240.0,30.8,2.9,85.9,1.7,125.0,47.1,46.3,1131000.0,5.1,44.8,53.9,2.9,2.74,1759.0,73603.0,23.5,66.5,13.3,22.1,90.6,61.8,51.4,23.4,06,037,Los Angeles
06037216402,2845.0,38.0,5.5,74.8,0.1,410.0,47.6,2.0,680700.0,3.9,9.4,87.0,6.6,2.04,1926.0,75074.0,24.8,84.0,15.4,49.1,87.9,58.4,51.2,38.3,06,037,Los Angeles
06037216401,4380.0,33.9,9.5,78.8,4.4,226.0,51.0,1.0,642900.0,3.7,13.0,88.4,9.0,2.19,1720.0,49395.0,26.2,66.1,15.8,47.5,81.3,57.6,50.5,37.8,06,037,Los Angeles
06037215102,3070.0,34.0,12.5,64.7,0.0,650.0,46.4,0.6,,3.1,50.1,99.4,4.7,1.57,1757.0,61368.0,27.8,66.7,12.3,71.6,69.6,66.2,60.9,32.4,06,037,Los Angeles
06037215101,2930.0,30.4,16.4,55.9,7.4,430.0,40.3,0.0,651000.0,3.1,25.3,92.3,6.4,1.77,1881.0,61609.0,30.5,72.6,15.4,85.6,66.9,81.5,57.6,30.3,06,037,Los Angeles
06037214501,2860.0,34.8,7.0,46.9,3.2,982.0,50.1,3.6,1981300.0,3.7,8.3,97.4,5.6,1.98,2587.0,86438.0,27.2,68.0,14.3,51.2,55.6,70.5,42.1,48.8,06,037,Los Angeles
06037212702,3647.0,44.7,15.7,20.1,6.6,1967.0,48.0,31.8,886500.0,4.8,37.1,50.8,3.4,2.18,1636.0,68750.0,29.5,77.4,10.5,37.0,89.0,51.5,35.7,42.3,06,037,Los Angeles
